Album Name,Song Name
Ya Tareeq,Ya Tareeq Ya Tareeq
Ya Tareeq,El Madeena
Ya Tareeq,Bheb El Hayah
Ya Tareeq,El Zaman
Ya Tareeq,Nawar Ya Leyl
Ya Tareeq,Wa't We Eshnah
Ya Tareeq,Ahla Donia
Ya Tareeq,Ahdan El Gabal
Shoft El Ayam,Shoft El Ayam
Shoft El Ayam,Ana Mosh Anany
Shoft El Ayam,Gamalo
Shoft El Ayam,Aiwa Etghayart
Shoft El Ayam,Saet EL Forak
Shoft El Ayam,Aho Leil Wi Aada
Shoft El Ayam,Kan Kol Haga
Shoft El Ayam,We Hatebtady
Shoft El Ayam,We Neesh
Shoft El Ayam,Jana
Shoft El Ayam,Mosh Gedid
El Leila,Al Leila
El Leila,Sebt Faragh Kebeer
El Leila,Garaly Eeh
El Leila,Adit El Ayam
El Leila,Khalina Lewahdina
El Leila,Wahy Zekrayat
El Leila,Mafeesh Menak
El Leila,Fouq Men Elenta Feh
El Leila,Endi Soal
El Leila,Ya Albaha
El Leila,Habit Ya Alby
El Leila,Lafetha Belad
Banadek Taala,Banadeek Taala
Banadek Taala,Allumak Leh
Banadek Taala,Aghla Min Omry
Banadek Taala,Maadarsh Ana
Banadek Taala,Youm Matabelna
Banadek Taala,Maak Bartaah
Banadek Taala,Hala Hala
Banadek Taala,Aref Habibi
Banadek Taala,Heya Hayaty
Banadek Taala,Tagroba We Addet
Banadek Taala,Ya Reet Senek
Banadek Taala,Mally Einaya
Wayah,Wayah
Wayah,Yehemak Fe Eh
Wayah,Wehyati Khaliki
Wayah,Allah Ala Hobak
Wayah,Illa Habebe
Wayah,Ene We Ana Shayfo
Wayah,Baadem Albe
Wayah,Malak
Wayah,Helwa El Ayam
Wayah,Tameny
Wayah,Baedt Leh
Wayah,Ah Min El Foraa
El Lilady (Tonight),Dehket
El Lilady (Tonight),We Fehmt Einak
El Lilady (Tonight),Aletly Oul
El Lilady (Tonight),Rohy Mertahalak
El Lilady (Tonight),Hikayat
El Lilady (Tonight),Toul Ma'an Shaifak
El Lilady (Tonight),Khalik Ma'aya
El Lilady (Tonight),Hikayat
El Lilady (Tonight),Ne'oul Aih
El Lilady (Tonight),El Lilady
Kammel Kalamak,Bethaby Leih
Kammel Kalamak,Kammel Kalamak
Kammel Kalamak,Away Ana A'ref
Kammel Kalamak,Ma'ak Bgad
Kammel Kalamak,Odam Oyoonak
Kammel Kalamak,Allah La Yehremmy Minak
Kammel Kalamak,Ayyam We Ben'eshha
Kammel Kalamak,Agheeb
Kammel Kalamak,We Maloh
Kammel Kalamak,Hkaytak Eih
Ahla Ma Ghana Amr Diab,Wala Ala Balo
Ahla Ma Ghana Amr Diab,Alby
Ahla Ma Ghana Amr Diab,Tamly Maak
Ahla Ma Ghana Amr Diab,El Alem Allah
Ahla Ma Ghana Amr Diab,Ana Ayesh
Ahla Ma Ghana Amr Diab,Nour El Ein
Ahla Ma Ghana Amr Diab,Ana
Ahla Ma Ghana Amr Diab,Elyos With Angela
Ahla Ma Ghana Amr Diab,Mahma Kebert
Ahla Ma Ghana Amr Diab,We Heya Amla Eih
Ahla Ma Ghana Amr Diab,Amarain
Ahla Ma Ghana Amr Diab,Alby Ekhtark
Ahla Ma Ghana Amr Diab,Khaleeny Ganbak
Ahla Ma Ghana Amr Diab,Aktar Wahed
Ahla Ma Ghana Amr Diab,Baed El Layale
Ahla Ma Ghana Amr Diab,Allem Albi
Lealy Nahary,Qusad Einy
Lealy Nahary,Illa Heya
Lealy Nahary,Ye Douk El Bab
Lealy Nahary,Wahashtiny
Lealy Nahary,Khad Alby Maah
Lealy Nahary,Lealy Nahary
Lealy Nahary,Khaleena Neshofak
Lealy Nahary,Dayman Fi Baly
Lealy Nahary,Rihet El Habayib
Lealy Nahary,Tinsa Wahda
Allem Alby,Allem Alby
Allem Alby,Ana Ayesh
Allem Alby,Ally El Wadaa
Allem Alby,Ya Kenzy
Allem Alby,Teadar Tetkalem
Allem Alby,Law Ashaany
Allem Alby,Allemny Hawak
Allem Alby,Habiby Ya Omry
Allem Alby,Enta Ma Oltesh Leih
Allem Alby,Haneit
Allem Alby,Kollohom
Allem Alby,Khaleeny Ganbak
Allem Alby,Allem Alby Remix
Aktar Wahed Beihebak,Wala Ala Balo
Aktar Wahed Beihebak,Aktar Wahed
Aktar Wahed Beihebak,Kan Tayeb
Aktar Wahed Beihebak,Baed El Layali
Aktar Wahed Beihebak,Olt Eh
Aktar Wahed Beihebak,Wala Leila
Aktar Wahed Beihebak,Adeni Regeatelek
Aktar Wahed Beihebak,Sadaany Khalas
Aktar Wahed Beihebak,Ahebek Akrahek
Aktar Wahed Beihebak,Ya Habibi La
Tamally Maak,El Alem Allah
Tamally Maak,Tamally Maak
Tamally Maak,Keda Einy Einak
Tamally Maak,We Heya Amla Eh
Tamally Maak,Senien
Tamally Maak,Aamel Eih
Tamally Maak,Law Kan Yerdik
Tamally Maak,Baateref
Tamally Maak,Alby Ekhtarak
Tamally Maak,Saaban Alaya
Amarain,Amarain
Amarain,Ana
Amarain,Alby
Amarain,Bahebak Aktar
Amarain,Betwhashny
Amarain,We Lesa Bethebo
Amarain,Khalek Fakerny
Amarain,Hekayate
Nour El Ein,Nour El Ein
Nour El Ein,Moush Hadaaf
Nour El Ein,Nafs El Makan
Nour El Ein,Lela Men Omry
Nour El Ein,Aizen Yeghayarouk
Nour El Ein,Men Awel Marah
Nour El Ein,Eweadni
Nour El Ein,Yomenhom
Ya Tarek,Al Madina
Ya Tarek,Al Zaman
Ya Tarek,Baheb Al Haia
Ya Tarek,Emta
Ya Tarek,Nawar Ya Lail
Ya Tarek,Ya Habibty Wada
Ya Tarek,Ya Helwa
Ya Tarek,Ya Tarek
ya taree',ahla donia
ya taree',baheb el hayah
ya taree',el madina
