Album Name,Song Name
Dubai Concert 2022,Shokran - Live Dubai Concert 2022
Dubai Concert 2022,Ya Mousabett - Live Dubai Concert 2022
Dubai Concert 2022,Yesmaholy El Kol - Live Dubai Concert 2022
Dubai Concert 2022,Kan Yhemny - Live Dubai Concert 2022
Dubai Concert 2022,Bent Akaber - Live Dubai Concert 2022
Dubai Concert 2022,Eshtagtilak - Live Dubai Concert 2022
Dubai Concert 2022,Al Soura - Live Dubai Concert 2022
Dubai Concert 2022,Aheb Elbar W ElMaezoun - Live Dubai Concert 2022
Dubai Concert 2022,Raweh Wi Rouh - Live Dubai Concert 2022
Dubai Concert 2022,Aktar - Live Dubai Concert 2022
Dubai Concert 2022,Henain - Live Dubai Concert 2022
Dubai Concert 2022,Asmaa Sada Soutek - Live Dubai Concert 2022
Dubai Concert 2022,Aqoba - Live Dubai Concert 2022
Dubai Concert 2022,Thak El Ghaby - Live Dubai Concert 2022
"Asala Nasri Concert, Vol. 1 (Live)",Samehtak - Live
"Asala Nasri Concert, Vol. 1 (Live)",Ya Tera Teery - Live
"Asala Nasri Concert, Vol. 1 (Live)",Gabou Sirtou - Live
"Asala Nasri Concert, Vol. 1 (Live)",Bo'adak Anny - Live
"Asala Nasri Concert, Vol. 1 (Live)",Bent Akaber - Live
"Asala Nasri Concert, Vol. 1 (Live)",Shokran - Live
"Asala Nasri Concert, Vol. 1 (Live)",So'al Basit - Live
"Asala Nasri Concert, Vol. 1 (Live)",Ala Remsh Oyonha - Live
"Asala Nasri Concert, Vol. 1 (Live)",Aktar - Live
"Asala Nasri Concert, Vol. 1 (Live)",Shomokh Ezzy - Live
"Asala Nasri Concert, Vol. 1 (Live)",Hazeen - Live
Shayfa Feek,Ghalban
Shayfa Feek,Kevokim
Shayfa Feek,Farha Wi Bas
Shayfa Feek,Faqadt Nafsy
Shayfa Feek,Ana Hurra
Shayfa Feek,Bi El Salama
Shayfa Feek,Manni Wafi
Shayfa Feek,Zay El Mougezat
Shayfa Feek,Elly Medayea Yefarea
Shayfa Feek,Shayfa Feek
Shayfa Feek,Allah Gab
Shayfa Feek,Allah Gab Khaleeji Version
Shayfa Feek,Ezay Habibi
Shayfa Feek,Law Kol Youm - El Rehla
La Testaslem,Ana Maak
La Testaslem,Wallah W Tifaragna
La Testaslem,Bayan
La Testaslem,Refkann
La Testaslem,Wesh Kenta Agoul
La Testaslem,Kal Moatad
La Testaslem,Doroub El Amany
La Testaslem,Almahak
La Testaslem,Sawi
La Testaslem,La Testaslem
La Testaslem,Ghammad Ounouyak
La Testaslem,Ma Erefet Anteg
La Testaslem,Yoltof B Hali
La Testaslem,Eshtagtilak
La Testaslem,Naam Ashtag
La Testaslem,Ana Omry
La Testaslem,Nazratti
La Testaslem,Ya Mousabett
La Testaslem,Gheymitak Hallat
La Testaslem,Youm Li
Lilet Ramadan Maa Soula,Al Mostafa
Lilet Ramadan Maa Soula,Bahebo
Lilet Ramadan Maa Soula,Khalleha Ala Allah
Lilet Ramadan Maa Soula,Le Elah
Lilet Ramadan Maa Soula,Ramadan Gana
Lilet Ramadan Maa Soula,Talaa Al Badr Alina
Lilet Ramadan Maa Soula,Gamaa Ya Rab Oloub
Fi Orbak,Fi Orbak
Fi Orbak,Nokhta Baykha
Fi Orbak,Maba'ash Ser - Single
Fi Orbak,Haga Matkhosaksh - Single
Fi Orbak,Geddan Geddan - Single
Fi Orbak,Gabo Serto
Fi Orbak,Halet Karkaba
Fi Orbak,Youm Youmin
Fi Orbak,Sabouk
Fi Orbak,Heita Sad
Mohtamma Bel Tafaseel,Mohtamma Bel Tafaseel
Mohtamma Bel Tafaseel,Rajea Al Farah
Mohtamma Bel Tafaseel,Sho Badak
Mohtamma Bel Tafaseel,yoom elrheel
Mohtamma Bel Tafaseel,Ana Batkhan
Mohtamma Bel Tafaseel,ya alem
Mohtamma Bel Tafaseel,Hay'ollek
Mohtamma Bel Tafaseel,Meen Fena
Mohtamma Bel Tafaseel,Kefaya Kelma
Mohtamma Bel Tafaseel,Kol Amma Teftekro
Mohtamma Bel Tafaseel,kam marra
Mohtamma Bel Tafaseel,Aasid Aih
Mohtamma Bel Tafaseel,Sandoo' Segheer
Aalleg El Deneia,Aadah
Aalleg El Deneia,Thak El Ghaby
Aalleg El Deneia,Hodoeik
Aalleg El Deneia,Lan Takoon
Aalleg El Deneia,Aalleg El Deneia
Aalleg El Deneia,Kan Yhemny
Aalleg El Deneia,Fasl El Aana
Aalleg El Deneia,Hobeti
Aalleg El Deneia,Ashkorohom
Aalleg El Deneia,El Omor Kellah
Aalleg El Deneia,Hezn El Shawarei
Aalleg El Deneia,Taqreeban Ana
Aalleg El Deneia,Fog El Omam
Aalleg El Deneia,Ya Hebbiba
أعلّق الدنيا,عادا
أعلّق الدنيا,ذاك الغبي
أعلّق الدنيا,هدوئك
أعلّق الدنيا,لن تكون
أعلّق الدنيا,أعلّق الدنيا
أعلّق الدنيا,كان يهمني
أعلّق الدنيا,فصل العنا
أعلّق الدنيا,حوبتي
أعلّق الدنيا,أشكرهم
أعلّق الدنيا,العمر كله
أعلّق الدنيا,حزن الشوارع
أعلّق الدنيا,فوق الأمم
أعلّق الدنيا,تقريباً أنا
أعلّق الدنيا,يا حبّيبة
60 Dqiqa Haiah,Molhemto El Wahida
60 Dqiqa Haiah,El Ward El Balady
60 Dqiqa Haiah,Soaal Basit
60 Dqiqa Haiah,Aisha Ala Ely Fat
60 Dqiqa Haiah,Mawakef Moalma
60 Dqiqa Haiah,60 Dqiqa Haiah
60 Dqiqa Haiah,Boaadak Ani
60 Dqiqa Haiah,Ala Eh
60 Dqiqa Haiah,Khanat El-Zekrayat
60 Dqiqa Haiah,Manazel
Qanon Kaifak,Bass Daqiqa
Qanon Kaifak,Ela Mata
Qanon Kaifak,Khodni Lak
Qanon Kaifak,Sam W Assal
Qanon Kaifak,Qanon Kaifak
Qanon Kaifak,Shakhs Yehtam
Shakhseya Aneeda,Ana Hobbek
Shakhseya Aneeda,Asasi
Shakhseya Aneeda,Begad Tegannen
Shakhseya Aneeda,Bona'an Ala Raghabatak
Shakhseya Aneeda,Kabbartak Ala Sedak
Shakhseya Aneeda,Oul Bahebbak
Shakhseya Aneeda,Rohi Wakhdani
Shakhseya Aneeda,Sabni
Shakhseya Aneeda,Shaghel Baly
Shakhseya Aneeda,Shakhseya Aneeda
Moshtaah,3ayeshny Sawany
Moshtaah,Ya 3ieny
Moshtaah,Mo5ade3
Moshtaah,E3tef 7abeby
Moshtaah,Mosh Bemawa3edy
Moshtaah,Mo3gaba Fiek
Moshtaah,Fo2 Mn Wahmak
Moshtaah,Mab2ash Ana
Shakhsya Anida,Kabartak Ala Sedak
Shakhsya Anida,Asasi
Shakhsya Anida,Sha3'el Baly
Shakhsya Anida,Rohi Wakhdani
Shakhsya Anida,Shakhsya Anida
Shakhsya Anida,Sabni
Shakhsya Anida,Ana Hobek
Shakhsya Anida,Qool Bahebek
Shakhsya Anida,Bgd Tegann
Shakhsya Anida,Bona2an Ala Ra3'batak
Shakhseya Anida,Shaghel baly
Shakhseya Anida,Kabrtak ala sidak
Shakhseya Anida,Kool bahbek
Shakhseya Anida,Ana hobek
Shakhseya Anida,Shakhseya anida
Shakhseya Anida,Asasy
Shakhseya Anida,Begad teganen
Shakhseya Anida,Rohy wakhdany
Shakhseya Anida,Bonaa ala raghbatak
Shakhseya Anida,Sabny
Qanuon kefak,Sharha Weatab
Qanuon kefak,Teaabt Aradiek
Qanuon kefak,Ya Rasy El Taab
Qanuon kefak,Sem We Asal
Qanuon kefak,Shakhs Yotaham
Qanuon kefak,Qanon Kifak
Qanuon kefak,Shof Ozr
Qanuon kefak,Bas Daeea
Qanuon kefak,Ela Mata
Nos Hala,Awaat
Nos Hala,Baa Tabeay Alaya
Nos Hala,Etfarag Ala Najsak
Nos Hala,Ah Meen Aynah
Nos Hala,Kan Wahm
Nos Hala,Wala Dary
Nos Hala,Nos Hala
Nos Hala,Yesmaholy El Kol
Sawaha Qalbi,Tabi Ttruknie
Sawaha Qalbi,La Tekhaf
Sawaha Qalbi,Shumokh Azee
Sawaha Qalbi,Talabtk
Sawaha Qalbi,Deerat Alguorbah
Sawaha Qalbi,Agrab Gareeb
Sawaha Qalbi,Kalemt Shukr
Sawaha Qalbi,Aumneiah
Sawaha Qalbi,Sawaha Qalbi
Ady,Asefah
Ady,Fein Habibi
Ady,Shouft Be Enaya
Ady,Aoulak Bahibak
Ady,Ayez Tebaed
Ady,Aady
Ady,Khalek Shwaya
Ady,El Hawa
Hayati,Wahna Sawa
Hayati,Ana Mesh Sab'a Alaik
Hayati,Hayati
Hayati,Aktar
Hayati,Alamtni
Hayati,Ared Laeeh
Hayati,Wallah Ma Itthada
Hayati,Neseni Baek
Hayati,Baeen Aedayek
