Album Name,Song Name
Hawwa,Waheshny
Hawwa,Hafdal
Hawwa,Jann El Sabi
Hawwa,A'lo Sabni
Hawwa,Mazzika Hadia
Hawwa,Set El Banat
Hawwa,Egmady
Hawwa,Mateegy Noro's
Hawwa,Fe Youm Mn El Ayam
Hawwa,Sabaho Ward
Hawwa,Allaha Bahebik
Hawwa,Ahdam Khabriye
Hawwa,Bahib El Hayat
Hawwa,Touta
Hawwa,Hawwa
Hawwa,Waheshny
Hawwa,Hafdal
Hawwa,Jann El Sabi
Hawwa,A'lo Sabni
Hawwa,Mazzika Hadi
Hawwa,Set El Banat
Hawwa,Egmady
Hawwa,Mateegy Noro's
Hawwa,Fe Youm Mn El Ayam
Hawwa,Sabaho Ward
Hawwa,Allaha Bahebik
Hawwa,Ahdam Khabriye
Hawwa,Bahib El Hayat
Hawwa,Touta
Hawwa,Hawwa
Houwa El Zaman,Agoul Ahwak
Houwa El Zaman,Kalouli Annou
Houwa El Zaman,Ma Sar
Houwa El Zaman,Houwa El Zaman
Houwa El Zaman,Ajmal sodfa
Houwa El Zaman,Wahdi
Houwa El Zaman,Ahla Kalam
Houwa El Zaman,Salem Halak
Houwa El Zaman,Ma Tekli Kan Ou Kan
Houwa El Zaman,Badi Ou Ma Badi
Malikat Jamal Al Kawen,Aaref
Malikat Jamal Al Kawen,Matoolesh
Malikat Jamal Al Kawen,Harami Qolob
Malikat Jamal Al Kawen,Malket Gamal El Kowan
Malikat Jamal Al Kawen,Kobah
Malikat Jamal Al Kawen,Bayzah Khelaah
Malikat Jamal Al Kawen,Kont Haaolak Eih
Malikat Jamal Al Kawen,Bade Bakek Bokra Bafragek
Malikat Jamal Al Kawen,Samaani
Malikat Jamal Al Kawen,Bade Shof Beaynak Hob
Malikat Jamal Al Kawen,Baolak Eih Ya Aam
Malikat Jamal Al Kawen,Yalla Maa Baad
Malikat Jamal Al Kawen,Bahrab Men Aneh
Malikat Jamal Al Kawen,Baheb Feek Hagat
Baby Haifa,El Wawa
Baby Haifa,Baba fen
Baby Haifa,Lama Shams
Baby Haifa,Aklek Mnen Ya Batah
Baby Haifa,Ya Toto
Baby Haifa,Bekousi
Baby Haifa,Nouti
Baby Haifa,Hek El Mama
Habibi Ana,Albi Habb
Habibi Ana,Ayami
Habibi Ana,Baad Ele Hasalli
Habibi Ana,Habibi Ana
Habibi Ana,Hasa Ma Bena
Habibi Ana,Hat Alaya
Habibi Ana,Ihsasi Beek
Habibi Ana,Khayna
Habibi Ana,Ma Tkallemnish
Habibi Ana,Matolch Li Had
Habibi Ana,Metakhda
Habibi Ana,Mosh Adra Istanna
Habibi Ana,Olt Eah
Habibi Ana,Tesmahli
Habibi Ana,Yabn El Halal
Badi Eish,Rajab
Badi Eish,Ya Hayat Albe
Badi Eish,Ana Hayfa
Badi Eish,Badi Eish
Badi Eish,Fakerne
Badi Eish,Ma Khadtesh Bale
Badi Eish,Tege Ezae
Badi Eish,Bahibak Hob
Badi Eish,Nar El Ashwaq
Badi Eish,Bahebak Moot
Badi Eish,Hawa El Zaman Remix
Badi Eish,Twal Omry
Badi Eish,Fi Einek
Walad,Walad
Tigi (تيجي),Tigi - تيجي
Liek El Cha Cha,Liek El Cha Cha
Tamalli Nag7a,Tamalli Nag7a
Shaghla Kol Ennas,Shaghla Kol Ennas
Breathing You In,Breathing You In
Oppa Oppa,Oppa Oppa
Oppa Oppa,Oppa Oppa
Farhana,Farhana
Farhana,Farhana
Ana Aam Behlam Fik,Ana Aam Behlam Fik
Ana Aam Behlam Fik,Ana Aam Behlam Fik
Ya Majnoon,Ya Majnoon
