Album Name,Song Name
Aashaangy,Leeh Tallah
Aashaangy,Ahla Kalam
Aashaangy,Mabagesh Bel Tareaa De
Aashaangy,Bood Moaakat
Aashaangy,Sawhna
Aashaangy,Zay Al Ayam De
Aashaangy,Khadna Manaaa
Aashaangy,Sagel Ya Tarekh
Aashaangy,Aashaangy
Khaleek Folazy,Awelny Kalam
Khaleek Folazy,Mabatalnash Ehsas
Khaleek Folazy,Ad El Foraq
Khaleek Folazy,Fagaa Eftaraana
Khaleek Folazy,Nafs El Nehaya
Khaleek Folazy,Tamaateeny
Khaleek Folazy,Fe Gamal Keda
Khaleek Folazy,Karahteny Fel Hob
Khaleek Folazy,Be Alf Salama
Khaleek Folazy,Khaleek Folazy
Khaleek Folazy,Ekhteraa
Eish Besho'ak,Lolak Habiby
Eish Besho'ak,Kabelteeny
Eish Besho'ak,Nasseeny Leih
Eish Besho'ak,Kefayak Aazar
Eish Besho'ak,Eish Besho'ak
Eish Besho'ak,We Akheeran
Eish Besho'ak,We Enta Maaya
Eish Besho'ak,Hekayat El Hob
Eish Besho'ak,Taman Ekhteyar
Eish Besho'ak,Ward Senaaey
Eish Besho'ak,Wala Youm Men Ayamo
Eish Besho'ak,100 Wesh
Eish Besho'ak,Helm Seneen
Omry Ebtada,Omry Ebtada
Omry Ebtada,Ya Mali Aaeny
Omry Ebtada,Nafs El Haneen
Omry Ebtada,Ya Aayoon
Omry Ebtada,El Hares Allah
Omry Ebtada,Kan Fe Wahda
Omry Ebtada,Fad Beya
Omry Ebtada,Batelet El AAlam Fel Nakad
Omry Ebtada,Ehsasy Mabyekdebsh
Omry Ebtada,Habibi Khalas
Omry Ebtada,Shokran Ennak Fe Hayaty
Omry Ebtada,Ya Baaeed
Omry Ebtada,Kaddab W Anany
180°,180 Darga
180°,Kol Al Lahgat
180°,Etmany
180°,Meen Momkan
180°,Nergaa Tani
180°,Welcome To The Life
180°,Fi Al Haiah
180°,Matetghairy Baa
180°,Al Ouada Etfakit
180°,Zai Al Nile
180°,Dana Baba
180°,Kol Dah Ala Aieh
Bahebak Enta,Bahebak Enta
Bahebak Enta,Ya Bakht Elli Hat-hebeh
Bahebak Enta,Elly Rah
Bahebak Enta,Yarit Terdy
Bahebak Enta,Magnoun Ana
Bahebak Enta,Had Shabaho
